"Package UID","Day","BreakFast","Lunch","Snacks","Dinner"
"DIABETIC F EAGEN","29","D.BOILED EGG SANDWICH","EGGS SALAD AND JUICE(ANY)","SMOOTHIE 6","EGGSHP MEXICAN BOWL"
"DIABETIC F EAGEN","30","DF EGG CILANTRO WRAP","EGG SPROUTS SALAD","EGG SPROUTS SALAD","EGGSHP MEDITERRANEAN BOWL"
"DIABETIC F EAGEN","31","SMOOTHIE 6","EGGSHP FALAFEL BOWL","EGG CAESAR SALAD","BOILED EGGS WRAP AND SOUP"
"DIABETIC F GFREE","1","GF OATS UPMA","GLUTENFREE PANEER RICE AND SOUP","GLUTENFREE SPROUTS SALAD","GLUTENFREE GRILLED PANEER IN INDIAN HERBS"
"DIABETIC F GFREE","2","D.GLUTENFREE WRAP AND JUICE","BROWN RICE KHICHDI WITH RAITA","DF GLUTENFREE SPINACH CORN SOUP","GLUTENFREE GRILLED PANEER IN ITALIAN HERBS MEAL"
"DIABETIC F GFREE","3","GF OATS UPMA","GF PESTO MEAL","SMOOTHIE 4","D.GLUTENFREE SALAD AND JUICE(ANY)"
"DIABETIC F GFREE","4","D.GLUTENFREE SALAD AND JUICE(ANY)","DF GLUTENFREE HP BURRITTO BOWL","GLUTEN FREE GREEK SALAD","GLUTENFREE SANDWICH AND JUICE9ANY)"
"DIABETIC F GFREE","5","GF CHICKPEA PATTY WITH HUMMUS","D.GLUTENFREE SALAD AND JUICE(ANY)","GLUTEN FREE MUSHROOM SOUP","GLUTENFREE HP MEDITERRANEAN BOWL"
"DIABETIC F GFREE","6","GLUTENFREE D.PASTA SALAD","D.HIGH PROTEIN BOWL AND SMOOTHIE","GLUTEN FREE BROCCOLI SOUP","DF.GLUTENFREE GRILLED PANEER IN PESTO SAUCE"
"DIABETIC F GFREE","7","GLUTENFREE D.QUINOA SALAD","GLUTEN FREE THREE BEANS SALAD","GLUTENFREE PANEER RICE AND SOUP","GLUTENFREE SALAD AND SMOOTHIE(ANY)"
"DIABETIC F GFREE","8","DF.GLUTENFREE GRILLED PANEER IN CILANTRO SAUCE","GLUTENFREE SOUP AND SALAD","GLUTENFREE D. FRUIT SALAD","GLUTENFREE GRILLED PANEER IN CILANTRO SAUCE"
"DIABETIC F GFREE","9","SMOOTHIE 1","D.GLUTENFREE SANDWICH AND JUICE9ANY)","GLUTENFREE D.CORN SALAD","GLUTENFREE HP MEXICAN BOWL"
"DIABETIC F GFREE","10","DF.GLUTENFREE GRILLED PANEER IN INDIAN HERBS","DF GLUTENFREE HP PESTO BOWL","SMOOTHIE 2","GLUTENFREE GRILLED PANEER IN PERI PERI SAUCE MEAL"
"DIABETIC F GFREE","11","GF OATS UPMA","GLUTENFREE PANEER RICE AND SOUP","GLUTEN FREE TOMATO SOUP","DF GLUTENFREE HP FALAFEL BOWL"
"DIABETIC F GFREE","12","GF CHICKPEA PATTY WITH HUMMUS","GF SANDWICH AND SOUP","DF GLUTENFREE LEMON CORIANDER SOUP","D.GLUTENFREE SALAD AND JUICE(ANY)"
"DIABETIC F GFREE","13","D.GLUTENFREE MUSHROOM SANDWICH","D.GLUTENFREE SALAD AND JUICE(ANY)","DF GLUTENFREE BROCCOLI SOUP","GLUTENFREE GRILLED PANEER IN ITALIAN HERBS MEAL"
"DIABETIC F GFREE","14","DF.GLUTENFREE GRILLED PANEER IN CILANTRO SAUCE","D.GLUTENFREE WRAP AND JUICE","SMOOTHIE 3","GLUTENFREE HP BURRITTO BOWL"
"DIABETIC F GFREE","15","D.GLUTENFREE SALAD AND JUICE(ANY)","D.GLUTENFREE SALAD AND JUICE(ANY)","GLUTENFREE CAESAR SALAD","GLUTENFREE HP MEXICAN BOWL"
"DIABETIC F GFREE","16","SMOOTHIE 3","DF GLUTENFREE HP FALAFEL BOWL","D.GLUTENFREE SALAD AND JUICE(ANY)","GLUTEN FREE LEMON CORIANDER SOUP"
"DIABETIC F GFREE","17","GLUTENFREE D.CHANA SALAD","D.GLUTENFREE WRAP AND SMOOTHIE","GLUTEN FREE MUSHROOM SOUP","GLUTENFREE GRILLED PANEER IN PESTO SAUCE"
"DIABETIC F GFREE","18","GF CHICKPEA PATTY WITH HUMMUS","GF THAI CURRY MEAL","GLUTEN FREE SAUTE VEGGIES SALAD","GLUTENFREE SALAD AND SMOOTHIE(ANY)"
"DIABETIC F GFREE","19","DF VEG OATS UPMA","D.HIGH PROTEIN BOWL AND SMOOTHIE","GLUTEN FREE GREEK SALAD","GF PESTO MEAL"
"DIABETIC F GFREE","20","DF.GLUTENFREE GRILLED PANEER IN INDIAN HERBS","D.GLUTENFREE SALAD AND JUICE(ANY)","SMOOTHIE 5","GLUTENFREE HP THAI BUDDHA BOWL"
"DIABETIC F GFREE","21","GLUTENFREE D.THREE BEANS SALAD","DF GLUTENFREE HP MEXICAN BOWL","GF OATS UPMA","GLUTENFREE SALAD AND SMOOTHIE(ANY)"
"DIABETIC F GFREE","22","DF.VEG SANDWICH AND SOUP","GLUTENFREE GRILLED MUSHROOM WITH VEGGIES","GLUTENFREE BROWN RICE KHICHDI WITH RAITA","GLUTENFREE SALAD AND SMOOTHIE(ANY)"
"DIABETIC F GFREE","23","DF SMOOTHIE 4","GF SANDWICH AND BESAN CHILLA ROLL","DF GLUTENFREE TOMATO SOUP","GLUTENFREE HP FALAFEL BOWL"
"DIABETIC F GFREE","24","DF.GLUTENFREE GRILLED PANEER IN ITALIAN HERBS","DF GLUTENFREE HP THAI BUDDHA BOWL","GLUTEN FREE CHANA SALAD","GLUTENFREE SALAD AND JUICE(ANY)"
"DIABETIC F GFREE","25","DF SMOOTHIE 5","D.HIGH PROTEIN BOWL AND SMOOTHIE","DF GLUTENFREE PUMPKIN SOUP","GF VEG SMOKED PANEER SANDWICH"
"DIABETIC F GFREE","26","DF.GLUTENFREE SLIM PASTA","D.GLUTENFREE SALAD AND JUICE(ANY)","GLUTENFREE GRILLED PANEER IN PESTO SAUCE","GLUTENFREE GRILLED PANEER IN PERI PERI SAUCE"
"DIABETIC F GFREE","27","GLUTENFREE D.ENERGY SALAD","DF GLUTENFREE HP MEDITERRANEAN BOWL","SMOOTHIE 3","GF CILANTRO MEAL"
"DIABETIC F GFREE","28","GF CHICKPEA PATTY WITH HUMMUS","DF GLUTENFREE HP INDIAN VEGGIES BOWL","GLUTEN FREE THREE BEANS SALAD","GLUTEN FREE PUMPKIN SOUP"
"DIABETIC F GFREE","29","DF.GLUTENFREE SLIM PASTA","D.GLUTENFREE SALAD AND JUICE(ANY)","SMOOTHIE 6","GLUTENFREE HP MEXICAN BOWL"
"DIABETIC F GFREE","30","GRILLED MUSHROOM WITH DF.GLUTENFREEGIES","DF.GLUTENFREE GRILLED PANEER IN PERI PERI SAUCE","GLUTEN FREE THREE BEANS SALAD","GLUTENFREE HP MEDITERRANEAN BOWL"
"DIABETIC F GFREE","31","SMOOTHIE 6","DF GLUTENFREE HP FALAFEL BOWL","GLUTEN FREE QUINOA SALAD","GLUTENFREE SALAD AND JUICE(ANY)"
